                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 1.9202,                 2.0079,                 2.1528,                 0.5639,                0.12269,                0.22044,                0.08214,                 2.5655,                 2.8614,                 2.8017,              0.0009008,              0.0009008,              0.0009008
                     64,                 1.9233,                 1.9998,                 2.1508,                0.55205,                0.09081,                0.18365,                 0.0621,                 2.5817,                 2.8587,                 2.8286,              0.0008992,              0.0008992,              0.0008992
                     65,                 1.9471,                 1.9747,                 2.1753,                0.52185,                0.14167,                0.20848,                 0.0797,                 2.5836,                 2.7432,                 2.8266,              0.0008976,              0.0008976,              0.0008976
                     66,                 1.9359,                 2.0629,                 2.1563,                0.49376,                0.14709,                0.17479,                0.05678,                 2.5563,                 2.8444,                  2.811,               0.000896,               0.000896,               0.000896
                     67,                 1.8861,                  1.943,                 2.1261,                0.58248,                0.13668,                0.17111,                0.05967,                 2.4763,                 2.8112,                 2.7611,              0.0008944,              0.0008944,              0.0008944
                     68,                 1.8723,                 1.9733,                 2.1208,                 0.5322,                0.10225,                 0.1865,                0.06791,                 2.4542,                  2.741,                 2.7663,              0.0008928,              0.0008928,              0.0008928
                     69,                 1.8482,                 1.8973,                 2.1098,                0.47012,                 0.1292,                0.17957,                0.06671,                 2.3828,                 2.7588,                 2.6612,              0.0008912,              0.0008912,              0.0008912
                     70,                 1.8803,                 1.9453,                 2.1253,                0.56718,                0.13082,                0.21908,                0.07504,                 2.5763,                 2.7506,                 2.8945,              0.0008896,              0.0008896,              0.0008896
                     71,                 1.9071,                 1.9955,                  2.139,                0.34692,                0.08803,                0.13613,                0.04557,                 2.4873,                 2.8043,                 2.7952,               0.000888,               0.000888,               0.000888
                     72,                 1.8773,                 1.9434,                 2.1174,                0.53196,                0.13821,                0.24153,                0.08607,                 2.3876,                 2.6642,                 2.6321,              0.0008864,              0.0008864,              0.0008864
                     73,                 1.8287,                 1.8646,                 2.0688,                0.39538,                0.10651,                0.18244,                0.06238,                 2.3637,                 2.8396,                  2.682,              0.0008848,              0.0008848,              0.0008848
